"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"bm_mixed",100,"floor","c3","zRMSE",20,1.02758522275232,0.0481360862726674,NA,NA
"ou_mixed",100,"floor","c3","zRMSE",20,1.00377146946828,0.0333654508232754,NA,NA
"bm_mixed",300,"floor","c3","zRMSE",20,0.996040650605419,0.0153311189675808,NA,NA
"ou_mixed",300,"floor","c3","zRMSE",20,1.02338295352078,0.0215001427980974,NA,NA
"bm_mixed",1000,"floor","c3","zRMSE",20,0.995034466565369,0.0106034179489593,NA,NA
"ou_mixed",1000,"floor","c3","zRMSE",20,1.0013785099289,0.0117726218110846,NA,NA
"bm_mixed",100,"gnn_off","c3","zRMSE",20,0.248972783245028,0.0329693206089067,0.898333333333333,0.0268714722966906
"ou_mixed",100,"gnn_off","c3","zRMSE",20,0.441899322953136,0.0424889270858767,0.836666666666667,0.0390606066792625
"bm_mixed",300,"gnn_off","c3","zRMSE",20,0.158121275056517,0.0129740523959881,0.981111111111111,0.00442246024808295
"ou_mixed",300,"gnn_off","c3","zRMSE",20,0.216833273854141,0.013731962654334,0.981111111111111,0.00635223403166024
"bm_mixed",1000,"gnn_off","c3","zRMSE",20,0.0786522886649437,0.00636362666961376,0.960166666666667,0.00570971778575636
"ou_mixed",1000,"gnn_off","c3","zRMSE",20,0.138036641683631,0.00892633078193531,0.963166666666667,0.00607687111703872
"bm_mixed",100,"gnn_off_pure","c3","zRMSE",20,0.24069584350208,0.0326241320924601,0.898333333333333,0.0268714722966906
"ou_mixed",100,"gnn_off_pure","c3","zRMSE",20,0.405716140981385,0.0387985221404514,0.87,0.034190727514243
"bm_mixed",300,"gnn_off_pure","c3","zRMSE",20,0.15698146511523,0.0129176170750831,0.981666666666667,0.00450795268685249
"ou_mixed",300,"gnn_off_pure","c3","zRMSE",20,0.215788326072806,0.0135522548084777,0.981666666666667,0.00636117814515613
"bm_mixed",1000,"gnn_off_pure","c3","zRMSE",20,0.0786522886649437,0.00636362666961376,0.960166666666667,0.00570971778575636
"ou_mixed",1000,"gnn_off_pure","c3","zRMSE",20,0.138036641683631,0.00892633078193531,0.963166666666667,0.00607687111703872
"bm_mixed",100,"gnn_on","c3","zRMSE",20,0.274928976041592,0.0321113566390622,0.881666666666667,0.0292673700111305
"ou_mixed",100,"gnn_on","c3","zRMSE",20,0.45686535233936,0.0436528334434273,0.836666666666667,0.0391353925158343
"bm_mixed",300,"gnn_on","c3","zRMSE",20,0.180929661340232,0.0147531038018249,0.972222222222222,0.00480280403261454
"ou_mixed",300,"gnn_on","c3","zRMSE",20,0.243952898814765,0.0144260263224534,0.971111111111111,0.00799610041409928
"bm_mixed",1000,"gnn_on","c3","zRMSE",20,0.0916243659132932,0.00746952409927294,0.949,0.00656991192407162
"ou_mixed",1000,"gnn_on","c3","zRMSE",20,0.156705086689332,0.0103732581835555,0.951166666666667,0.00680245483725291
"bm_mixed",100,"gnn_on_full","c3","zRMSE",20,0.248894311547227,0.0330051525186078,0.896666666666667,0.0266995411398028
"ou_mixed",100,"gnn_on_full","c3","zRMSE",20,0.441202776269966,0.0435858594179651,0.826666666666667,0.0412239639612491
"bm_mixed",300,"gnn_on_full","c3","zRMSE",20,0.15845451438362,0.0130028745164025,0.980555555555556,0.00440590011410433
"ou_mixed",300,"gnn_on_full","c3","zRMSE",20,0.220281586369676,0.0143732176141046,0.978333333333333,0.00662143525289775
"bm_mixed",1000,"gnn_on_full","c3","zRMSE",20,0.07891800155383,0.00634544116060467,0.960166666666667,0.00565827552098208
"ou_mixed",1000,"gnn_on_full","c3","zRMSE",20,0.13818779834092,0.00890618083761614,0.962833333333333,0.00600815722300726
"bm_mixed",100,"rphylopars","c3","zRMSE",20,0.244481338071245,0.0318751783918109,NA,NA
"ou_mixed",100,"rphylopars","c3","zRMSE",20,0.41063878854679,0.0398614446550542,NA,NA
"bm_mixed",300,"rphylopars","c3","zRMSE",20,0.15690845658539,0.0126046801815499,NA,NA
"ou_mixed",300,"rphylopars","c3","zRMSE",20,0.218112768685121,0.0136807526132672,NA,NA
"bm_mixed",1000,"rphylopars","c3","zRMSE",20,0.078813898727042,0.00637631253608324,NA,NA
"ou_mixed",1000,"rphylopars","c3","zRMSE",20,0.138717862310381,0.00894716589203812,NA,NA
