"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"phylo_MAR","F2",1000,0.5,0.1,30,0,-0.0418854649693842,0.00241569232282987,0.588632610939112,0.625
"phylo_MAR","F3",1000,0.5,0.1,30,0,0.00263698959054368,0.00214790193046766,0.0550225748194015,0.177777777777778
"phylo_MAR","F1",100,1,0.1,30,0,-0.00203659769210276,0.00583671512335877,0.332196091662036,0.4
"phylo_MAR","F2",100,1,0.1,30,0,-0.033044545467989,0.010237598552821,0.443695288056743,0.525
"phylo_MAR","F3",100,1,0.1,30,0,0.0475284489409097,0.0114088094993663,0.0828122730573711,0.105555555555556
"phylo_MAR","F1",300,1,0.1,30,0,-0.00518361149340075,0.00169045177062184,0.29115253411306,0.375
"phylo_MAR","F2",300,1,0.1,30,0,-0.0467531202777692,0.00411744198709938,0.510382988721805,0.6
"phylo_MAR","F3",300,1,0.1,30,0,0.00777543278359633,0.00530860167468931,0.0789733593242365,0.144444444444444
"phylo_MAR","F1",1000,1,0.1,30,0,-0.000685799143659845,0.000352795550791385,0.127543859649123,0.225
"phylo_MAR","F2",1000,1,0.1,30,0,-0.0260296659146435,0.00201639435272225,0.507338034629056,0.641666666666667
"phylo_MAR","F3",1000,1,0.1,30,0,-0.00115001656173544,0.000740175341924767,0.0532017543859649,0.138888888888889
"phylo_MAR","F1",100,0.2,0.3,30,0,-0.0146950693366885,0.00837610272585666,0.26224343538585,0.291666666666667
"phylo_MAR","F2",100,0.2,0.3,30,0,-0.0880504846561342,0.0155370759631479,0.313075798470535,0.341666666666667
"phylo_MAR","F3",100,0.2,0.3,30,0,0.0173971233631471,0.0111797034830388,0.0620261437908497,0.0722222222222222
"phylo_MAR","F1",300,0.2,0.3,30,0,-0.00493339499633098,0.00376086168894019,0.28437048503612,0.3
"phylo_MAR","F2",300,0.2,0.3,30,0,-0.0748564194862884,0.00675768601606026,0.578115202221239,0.616666666666667
"phylo_MAR","F3",300,0.2,0.3,30,0,-0.00317274157796986,0.00695503373430362,0.116225490196078,0.138888888888889
"phylo_MAR","F1",1000,0.2,0.3,30,0,-0.00789288942174816,0.00164529495299714,0.362592879256966,0.408333333333333
"phylo_MAR","F2",1000,0.2,0.3,30,0,-0.0580716705453293,0.00425087137687392,0.672156432748538,0.691666666666667
"phylo_MAR","F3",1000,0.2,0.3,30,0,-0.000601180275966136,0.0028510076104789,0.152943817878028,0.205555555555556
"phylo_MAR","F1",100,0.5,0.3,30,0,-0.00212569562649542,0.00765466004140991,0.29010164299638,0.341666666666667
"phylo_MAR","F2",100,0.5,0.3,30,0,-0.0506988458184512,0.0130883575579985,0.38280583505332,0.425
"phylo_MAR","F3",100,0.5,0.3,30,0,0.0146643725271648,0.0121448844716893,0.0932699805068226,0.105555555555556
"phylo_MAR","F1",300,0.5,0.3,30,0,0.00245424197957213,0.00456364276729621,0.328789948728029,0.375
