"arm","n","lambda","rho","estimand","coverage","coverage_se","bias","bias_se","rmse","bias_vs_complete","ci_width","fmi_median","datasets"
"bace_resid",100,0.7,0,"cor",0.95,0.0154497076780334,-0.00187322863627419,0.00928336905974007,0.13097143300847,-0.00536081750793166,0.525841670396962,0.435102435268314,200
"complete",100,0.7,0,"cor",0.91,0.020286887118154,0.00348758887165747,0.007940129091064,0.112063587407807,-4.82469966756047e-20,0.388083776400254,0,200
"freqA",100,0.7,0,"cor",0.945,0.0161610923059864,0.0107674954208993,0.0102586710507326,0.145116384227763,0.00727990654912577,0.532156682047698,0.467600666059492,200
"freqB",100,0.7,0,"cor",0.905,0.0207854558737449,0.0116661838568857,0.0103226657343463,0.146085687151511,0.00817859498511222,0.46552018324896,0.311027532720129,200
"bace",300,0.7,0,"cor",0.86,0.0245972584982177,-0.0235978132442091,0.00630234678038285,0.0919839779690397,-0.0185817827388822,0.287759760924599,0.378418559755832,200
"bace_chain",300,0.7,0,"cor",0.955,0.0146953997519409,-0.00598101344350972,0.00557908696660304,0.0789296432692718,-0.000964982938182782,0.307369785996687,0.449157177605859,200
"bace_resid",300,0.7,0,"cor",0.925,0.0186713173196821,-0.0196397428020828,0.00550169056066805,0.080057296378128,-0.0146237122967558,0.297114151330909,0.41620353636564,200
"complete",300,0.7,0,"cor",0.935,0.0174757549207538,-0.00501603050532693,0.0044576874958759,0.0630831605612556,8.40256683676264e-20,0.22559183265951,0,200
"freqA",300,0.7,0,"cor",0.975,0.0110674042659483,-0.00516689501889213,0.00547670868947446,0.0774310666331022,-0.000150864513519435,0.311257112040866,0.479548973412018,200
"freqB",300,0.7,0,"cor",0.94,0.0168349958546813,-0.00339756408316901,0.00548795096121334,0.0774915930051966,0.00161846642220369,0.272683020530834,0.306249733133263,200
"bace",1000,0.7,0,"cor",0.83,0.0377525168068637,-0.0217723695915472,0.00492833900576035,0.0536525869632129,-0.0247035936426861,0.158900170493283,0.382846047793335,100
"bace_chain",1000,0.7,0,"cor",0.99,0.01,0.00147103457945858,0.0041514961595713,0.0413330504398665,-0.00146018947168035,0.171036353880308,0.456707664528348,100
"bace_resid",1000,0.7,0,"cor",0.94,0.0238683256575942,-0.0187499505891655,0.00427061765082738,0.0464450210887284,-0.0216811746403044,0.165130062878026,0.432443638137662,100
"complete",1000,0.7,0,"cor",0.95,0.0154497076780334,0.00366731021072375,0.00228052694016665,0.0323791443065136,1.11808349037568e-19,0.123856674766617,0,200
"freqA",1000,0.7,0,"cor",0.965,0.013027801736688,0.00349506830826077,0.00288908371352189,0.0409051297336063,-0.00017224190249056,0.171195071427147,0.471741624460388,200
"freqB",1000,0.7,0,"cor",0.925,0.0186713173196821,0.00274525576987622,0.00292285103102193,0.0413231775278921,-0.000922054440875104,0.150588177716849,0.31083336320648,200
"bace",100,1,0,"cor",0.989189189189189,0.00762359651389358,-0.0148917298624368,0.0096461151096614,0.131690965417989,-0.0126288185541865,0.582958425969332,0.490420683606858,185
"bace_chain",100,1,0,"cor",0.994505494505495,0.0054945054945055,-0.0012909950306406,0.00855121513081116,0.115052076846952,-0.00026296637855557,0.658314150655004,0.57264269577043,182
"bace_resid",100,1,0,"cor",0.983783783783784,0.00931141496388133,-0.0132820867951963,0.00939918961664795,0.128186780411946,-0.011019175486946,0.578820998310851,0.471890470897968,185
"complete",100,1,0,"cor",0.945,0.0161610923059864,0.000828996520673186,0.00759105453783325,0.107088210954832,3.51823604971548e-19,0.388497855824507,0,200
"freqA",100,1,0,"cor",0.95,0.0154497076780334,-0.00635069526138763,0.0095459235637481,0.134811490647505,-0.0071796917821691,0.527519717409782,0.463269236365939,200
"freqB",100,1,0,"cor",0.93,0.0180868924470723,-0.00396645966389202,0.00959811440412566,0.135456151669415,-0.00479545618467349,0.474180854184773,0.329802608128178,200
"bace",300,1,0,"cor",0.931216931216931,0.0184581121864772,-0.018331280547545,0.00626780074178308,0.087873074150093,-0.0156583122686371,0.344211077190265,0.473245690683071,189
"bace_chain",300,1,0,"cor",0.978835978835979,0.0104972401064315,-0.00251329472322826,0.00560038410130351,0.0768297171790111,0.000159673555679617,0.374562364165622,0.512422993807167,189
"bace_resid",300,1,0,"cor",0.941798941798942,0.0170751927538629,-0.017487895962657,0.00612810325826884,0.0858248951031908,-0.0148149276837492,0.342709384312496,0.470912971337549,189
"complete",300,1,0,"cor",0.94,0.0168349958546813,-0.00442819726262595,0.00439260247685036,0.0621233070465785,-3.93565388612238e-19,0.225618707875588,0,200
"freqA",300,1,0,"cor",0.94,0.0168349958546813,-0.00782357307248434,0.00576065599926965,0.0816397859285707,-0.00339537580976091,0.309119671434568,0.468336115555094,200
"freqB",300,1,0,"cor",0.935,0.0174757549207538,-0.00606023992868761,0.00565918292183141,0.0800622909065196,-0.00163204266596419,0.275501506669098,0.327510313814663,200
