"arm","n","lambda","rho","coverage","coverage_se","width","width_se","zrmse","zrmse_se","iscore","iscore_se","width_median","datasets"
"bace",300,0.7,0,0.897333333333333,0.00226301201962239,2.61588011352754,0.0260829595877384,0.779629191841133,0.00761218258938359,4.19609930564756,0.0600288137939509,2.58031714533865,200
"bace_chain",300,0.7,0,0.947166666666667,0.00120935693758871,2.97461696049994,0.0276135495070078,0.721732710176153,0.00690746591765284,3.58006028404548,0.0362056852179222,2.99313278092801,200
"bace_resid",300,0.7,0,0.962138888888889,0.00135057568725907,3.52565721839014,0.0359552867509851,0.789571666566152,0.00765768012264806,4.12980998947781,0.0459941464908295,3.48267958024473,200
"freqA",300,0.7,0,0.945916666666667,0.00118963035943266,2.93721374933981,0.0262286167638154,0.72269581746838,0.00685067637764252,3.55663612330367,0.0341958886401956,2.95665178065748,200
"freqB",300,0.7,0,0.945916666666667,0.00123630126392682,2.93482075170003,0.0261160113216838,0.722463202602413,0.00682384598834875,3.56217304617626,0.0356270075811196,2.92136277322552,200
"bace",1000,0.7,0,0.89855,0.00179671963840628,2.45290206521777,0.0366263964737358,0.734969275296642,0.0108649419658759,3.95967485072528,0.0692708920920987,2.46423194276188,100
"bace_chain",1000,0.7,0,0.948566666666667,0.000941921764559002,2.80428766057215,0.0395787104938683,0.680564160471358,0.0096785983552014,3.3452898434973,0.0495611376342213,2.82961810883152,100
"bace_resid",1000,0.7,0,0.967233333333333,0.00106474469100089,3.38741484954478,0.05137705203191,0.744791578389622,0.0110286946330642,3.91917788598162,0.063506643579025,3.4115376476011,100
"freqA",1000,0.7,0,0.949741666666667,0.000679842320454665,2.85268347432553,0.0271209940455558,0.691028529766979,0.00685039052106627,3.41360544562935,0.0344911704598785,2.87550996427598,200
"freqB",1000,0.7,0,0.9498,0.00070369924670682,2.85599831542979,0.0274070890810617,0.690902543621201,0.00693841121638561,3.40054959487694,0.0342436652718391,2.88551814576326,200
"bace",100,1,0,0.945765765765766,0.0026844106149062,0.950733778305576,0.0233087351134138,0.283066486190314,0.00792904695206479,1.19587709072276,0.0343548567154705,0.906452935377097,185
"bace_chain",100,1,0,0.969413919413919,0.00183897449503106,1.08437685160166,0.0245597788940527,0.254881473784089,0.00684256550187399,1.20382575643248,0.0290694667120107,1.03185752543988,182
"bace_resid",100,1,0,0.953333333333333,0.00245670169318464,0.981453773486694,0.0236550042061684,0.283216912152612,0.00793054694904055,1.20664491896214,0.0342025203360194,0.934055354452567,185
"freqA",100,1,0,0.9505,0.00207316614556415,0.815200924217764,0.0175006024025197,0.236588095040149,0.00671223914412626,1.0489479884796,0.0319781523718021,0.808487293780933,200
"freqB",100,1,0,0.95,0.00209356782606218,0.812653385555124,0.0173816532361683,0.237624771258284,0.00719647322916751,1.05032707665868,0.0339700012348353,0.784456186968442,200
"bace",300,1,0,0.952910052910053,0.00149735124873233,0.522459830689568,0.010429034446922,0.158131905888526,0.00413899149615502,0.637091030539084,0.0157287056991135,0.516405564127905,189
"bace_chain",300,1,0,0.960699588477366,0.00127618611407072,0.546399140950715,0.0105440297697649,0.153853985812707,0.0039408904345264,0.641356942189592,0.014020027393762,0.548100638012705,189
"bace_resid",300,1,0,0.957671957671958,0.00135911953733916,0.534932249965973,0.0105016898162076,0.158261294030411,0.0041414751692759,0.642775284688484,0.0156249257873254,0.528173995247329,189
"freqA",300,1,0,0.955555555555556,0.00124475448797881,0.509110654298235,0.00977988379987911,0.150437286379655,0.00377158799852289,0.629339610514933,0.0151637072711218,0.505573733383937,200
"freqB",300,1,0,0.954333333333333,0.00129971101122492,0.508878675610997,0.00984139953314637,0.150412315748362,0.00361986908046908,0.628811834764893,0.0151589290297652,0.501734421142733,200
"bace",1000,1,0,0.954666666666667,0.000953895505577279,0.278029891262625,0.00774716674048196,0.0844771159839028,0.00272883799500416,0.333790087040764,0.00943724061364174,0.273761737402309,95
"bace_chain",1000,1,0,0.959543859649123,0.000843791083502727,0.28350894082339,0.00788917210823724,0.0836000784920279,0.00256452927256619,0.335054443763542,0.00976874976381333,0.278073320738332,95
"bace_resid",1000,1,0,0.95978947368421,0.000901121922915907,0.283880505531176,0.00776359590097691,0.0845200671772648,0.00272933133688282,0.336116402944702,0.00944912544946446,0.279073317549751,95
"freqA",1000,1,0,0.958008333333333,0.000665901728237327,0.277312530301883,0.00576276112879219,0.0809122388579052,0.00176963212781498,0.338332627367908,0.00721843954244688,0.274108340303787,200
"freqB",1000,1,0,0.958466666666667,0.000660499109116353,0.277670018996426,0.00577689338879451,0.0806511349366275,0.00174363538312474,0.337115520011711,0.00709091576101635,0.273579140443765,200
